ID_vehicule,type_vehicule,kilometrage_total,km_moyen_jour,nombre_vidanges,nb_freins_changes,jours_dernier_entretien,type_route,temperature_moyenne,bruit_moteur,vibration,temoin_moteur_allume,panne_dans_30_jours
V10104,PL,78814.0,37.4,9.0,2.0,314.0,autoroute,22.3,faible,0.0,0.0,0.0
V10105,VL,19045.0,89.3,2.0,0.0,301.0,urbain,23.0,aucun,0.0,0.0,0.0
V10106,VL,97308.0,76.6,9.0,0.0,105.0,autoroute,22.2,aucun,0.0,0.0,0.0
V10107,VUL,118299.0,108.5,11.0,1.0,289.0,urbain,19.6,,0.0,0.0,0.0
V10108,VL,16210.0,,3.0,1.0,100.0,urbain,32.1,aucun,0.0,0.0,0.0
V10109,VL,205284.0,50.5,21.0,,96.0,urbain,9.5,aucun,1.0,0.0,1.0
V10110,VL,7582.0,65.8,0.0,0.0,152.0,urbain,28.2,faible,,0.0,1.0
V10111,,,76.2,1.0,,28.0,rural,26.6,élevé,0.0,0.0,
V10112,,10180.0,54.6,1.0,1.0,152.0,rural,,aucun,0.0,0.0,0.0
V10113,VUL,112210.0,38.2,11.0,0.0,,urbain,28.9,aucun,0.0,0.0,0.0
V10114,VUL,53108.0,82.0,,0.0,72.0,,19.3,aucun,0.0,0.0,0.0
V10115,PL,8249.0,78.0,1.0,0.0,253.0,rural,5.0,faible,0.0,0.0,
V10116,VUL,,37.1,2.0,2.0,398.0,autoroute,19.4,aucun,0.0,0.0,0.0
V10117,VL,47764.0,93.9,6.0,0.0,3.0,autoroute,12.1,aucun,0.0,0.0,0.0
V10118,,4357.0,89.3,1.0,1.0,236.0,autoroute,14.1,élevé,0.0,0.0,0.0
V10119,VL,107030.0,63.4,11.0,1.0,37.0,urbain,10.1,aucun,1.0,,1.0
V10120,VUL,81380.0,62.0,9.0,,19.0,autoroute,16.2,élevé,0.0,0.0,1.0
V10121,PL,35180.0,73.9,3.0,1.0,112.0,urbain,15.2,élevé,0.0,0.0,1.0
V10122,VL,170754.0,38.5,18.0,0.0,22.0,urbain,1.0,aucun,0.0,0.0,1.0
V10123,VL,27043.0,,2.0,1.0,366.0,autoroute,25.6,faible,1.0,,0.0
V10124,VL,207104.0,6.2,25.0,1.0,135.0,autoroute,37.8,,0.0,0.0,1.0
V10125,VL,55118.0,81.9,6.0,1.0,247.0,rural,24.8,faible,0.0,0.0,1.0
V10126,VUL,,,6.0,3.0,300.0,urbain,18.4,faible,0.0,0.0,1.0
V10127,PL,9073.0,97.6,1.0,,96.0,urbain,19.6,aucun,0.0,,0.0
V10128,VL,106822.0,51.7,11.0,0.0,32.0,urbain,16.6,faible,0.0,0.0,1.0
V10129,VL,27886.0,54.7,2.0,0.0,134.0,autoroute,20.7,faible,0.0,0.0,0.0
V10130,VL,8850.0,44.3,1.0,1.0,254.0,urbain,19.7,aucun,0.0,0.0,0.0
V10131,VL,634.0,52.8,0.0,1.0,277.0,autoroute,13.3,aucun,0.0,0.0,0.0
V10132,VL,41021.0,95.5,4.0,0.0,132.0,urbain,33.5,aucun,0.0,0.0,0.0
V10133,VL,37475.0,0.0,4.0,1.0,237.0,autoroute,8.1,aucun,0.0,1.0,0.0
V10134,PL,63532.0,91.9,8.0,1.0,14.0,autoroute,25.7,élevé,0.0,0.0,1.0
V10135,VL,110481.0,68.5,11.0,3.0,276.0,urbain,19.2,faible,0.0,0.0,0.0
V10136,VL,4136.0,29.8,0.0,0.0,125.0,urbain,35.2,aucun,0.0,0.0,0.0
V10137,VUL,65744.0,33.1,7.0,0.0,344.0,autoroute,22.7,aucun,0.0,0.0,1.0
V10138,VL,10376.0,101.9,1.0,0.0,16.0,rural,17.1,aucun,1.0,0.0,1.0
V10139,PL,97658.0,36.4,11.0,1.0,311.0,rural,18.0,aucun,0.0,0.0,0.0
V10140,PL,85480.0,31.2,8.0,1.0,49.0,rural,20.3,aucun,0.0,0.0,0.0
V10141,VL,38912.0,88.4,6.0,2.0,134.0,urbain,10.9,aucun,0.0,0.0,
V10142,VL,61935.0,68.5,9.0,0.0,117.0,autoroute,13.9,aucun,0.0,0.0,1.0
V10143,VL,18869.0,36.6,2.0,0.0,377.0,urbain,5.7,élevé,0.0,0.0,0.0
V10144,VL,31854.0,65.4,3.0,0.0,305.0,autoroute,12.6,aucun,0.0,0.0,0.0
V10145,VL,86196.0,34.4,9.0,1.0,59.0,urbain,20.8,aucun,1.0,0.0,1.0
V10146,VUL,30741.0,87.5,4.0,2.0,124.0,autoroute,22.4,aucun,0.0,0.0,0.0
V10147,VL,22142.0,86.5,,0.0,115.0,urbain,,,0.0,0.0,0.0
V10148,VL,34081.0,73.3,3.0,0.0,390.0,urbain,18.9,faible,1.0,0.0,0.0
V10149,VL,88085.0,69.0,9.0,1.0,,urbain,24.5,faible,0.0,0.0,1.0
V10150,PL,20414.0,104.0,4.0,1.0,186.0,autoroute,18.7,aucun,0.0,0.0,1.0
V10151,VL,9543.0,60.0,0.0,0.0,87.0,rural,14.9,aucun,1.0,0.0,1.0
V10152,VL,62242.0,30.5,6.0,1.0,202.0,autoroute,16.7,aucun,0.0,0.0,1.0
V10153,VL,87428.0,71.2,9.0,,360.0,urbain,15.7,aucun,0.0,0.0,1.0
V10154,PL,5303.0,112.2,1.0,3.0,310.0,rural,14.9,aucun,0.0,0.0,0.0
V10155,,13713.0,34.6,2.0,0.0,319.0,autoroute,21.4,élevé,0.0,0.0,0.0
V10156,VUL,7655.0,51.0,0.0,0.0,181.0,urbain,38.5,aucun,0.0,0.0,0.0
V10157,VUL,21381.0,70.4,5.0,0.0,351.0,urbain,14.1,aucun,1.0,0.0,1.0
V10158,VL,29923.0,58.7,,1.0,167.0,urbain,17.5,faible,0.0,0.0,0.0
V10159,VUL,69080.0,35.4,,1.0,180.0,urbain,19.6,aucun,0.0,0.0,1.0
V10160,VL,52655.0,88.0,7.0,1.0,299.0,urbain,14.5,aucun,1.0,0.0,0.0
V10161,VUL,48501.0,118.0,6.0,1.0,129.0,rural,28.8,aucun,0.0,0.0,1.0
V10162,VUL,21722.0,64.9,3.0,1.0,148.0,urbain,1.0,aucun,0.0,1.0,0.0
V10163,VL,92083.0,37.4,10.0,0.0,305.0,,15.8,faible,0.0,0.0,1.0
V10164,VL,31865.0,21.3,5.0,1.0,208.0,autoroute,26.5,aucun,1.0,0.0,0.0
V10165,VUL,193412.0,,19.0,1.0,110.0,rural,17.6,,1.0,0.0,1.0
V10166,VL,50275.0,87.6,6.0,1.0,136.0,rural,13.4,faible,0.0,0.0,0.0
V10167,VL,6748.0,71.9,2.0,0.0,354.0,urbain,23.5,faible,1.0,0.0,1.0
V10168,VL,56377.0,59.9,5.0,,210.0,autoroute,27.3,aucun,0.0,0.0,0.0
V10169,VL,19659.0,45.3,2.0,1.0,145.0,urbain,21.7,aucun,0.0,,1.0
V10170,VUL,57970.0,32.7,6.0,0.0,83.0,rural,13.6,aucun,1.0,0.0,1.0
V10171,VL,3609.0,80.9,0.0,0.0,29.0,,,aucun,0.0,0.0,1.0
V10172,VL,9611.0,82.8,3.0,0.0,64.0,rural,16.8,faible,,0.0,0.0
V10173,VL,96805.0,21.4,9.0,0.0,23.0,autoroute,,aucun,0.0,0.0,1.0
V10174,VUL,12885.0,99.7,1.0,2.0,210.0,urbain,31.9,faible,0.0,0.0,0.0
V10175,VL,90712.0,74.4,10.0,1.0,221.0,urbain,-0.8,aucun,0.0,0.0,0.0
V10176,,16374.0,95.0,3.0,2.0,89.0,autoroute,20.9,aucun,,0.0,1.0
V10177,,51484.0,26.4,7.0,0.0,105.0,urbain,6.1,faible,1.0,0.0,1.0
V10178,PL,59233.0,25.9,5.0,0.0,171.0,autoroute,39.5,,1.0,0.0,0.0
V10179,VL,35939.0,56.3,3.0,0.0,229.0,urbain,16.3,faible,0.0,0.0,0.0
V10180,VL,18214.0,72.6,2.0,1.0,76.0,autoroute,26.0,aucun,0.0,0.0,
V10181,VL,11953.0,104.9,1.0,1.0,67.0,urbain,19.7,élevé,0.0,0.0,0.0
V10182,PL,1687.0,77.7,0.0,1.0,364.0,rural,13.6,aucun,0.0,0.0,1.0
V10183,PL,18116.0,53.9,2.0,0.0,352.0,rural,12.6,faible,0.0,0.0,0.0
V10184,VL,52944.0,34.3,5.0,,388.0,urbain,32.7,aucun,0.0,0.0,0.0
V10185,VUL,,90.8,13.0,0.0,91.0,urbain,27.6,aucun,0.0,1.0,0.0
V10186,VUL,102476.0,,12.0,0.0,87.0,urbain,35.5,élevé,0.0,0.0,
V10187,VL,72635.0,100.7,9.0,1.0,49.0,urbain,20.4,faible,0.0,0.0,0.0
V10188,VL,77664.0,52.9,7.0,0.0,102.0,urbain,22.3,aucun,0.0,0.0,1.0
V10189,VL,54678.0,99.8,5.0,1.0,367.0,urbain,17.9,aucun,0.0,0.0,1.0
V10190,VL,,77.0,1.0,2.0,45.0,rural,17.7,aucun,0.0,0.0,1.0
V10191,PL,118862.0,56.6,12.0,1.0,178.0,urbain,11.7,aucun,0.0,0.0,0.0
V10192,PL,55544.0,47.0,6.0,4.0,266.0,autoroute,20.7,faible,,0.0,0.0
V10193,VUL,41099.0,51.5,5.0,2.0,,rural,13.7,aucun,0.0,0.0,0.0
V10194,VL,5882.0,70.7,0.0,2.0,396.0,urbain,23.5,aucun,0.0,0.0,0.0
V10195,VL,29624.0,61.9,3.0,0.0,319.0,urbain,21.4,aucun,0.0,0.0,0.0
V10196,VUL,30842.0,45.2,3.0,0.0,,autoroute,22.3,aucun,0.0,1.0,0.0
V10197,PL,99962.0,55.9,10.0,0.0,264.0,urbain,33.4,faible,0.0,0.0,0.0
V10198,PL,39554.0,62.0,5.0,1.0,385.0,rural,19.7,élevé,0.0,0.0,0.0
V10199,VUL,23934.0,6.8,2.0,1.0,77.0,,26.1,aucun,1.0,0.0,0.0
V10200,VUL,188180.0,71.5,19.0,0.0,396.0,urbain,36.4,faible,0.0,0.0,1.0
V10201,VL,5867.0,35.5,2.0,2.0,239.0,autoroute,30.5,aucun,0.0,0.0,
V10202,VL,27456.0,31.2,,0.0,257.0,urbain,,aucun,1.0,0.0,0.0
V10203,PL,2146.0,17.8,3.0,0.0,195.0,urbain,17.5,aucun,0.0,0.0,1.0
V10204,VUL,67335.0,15.2,8.0,0.0,329.0,autoroute,21.8,aucun,0.0,0.0,0.0
V10205,VL,125098.0,26.1,12.0,0.0,130.0,rural,9.5,aucun,0.0,0.0,1.0
V10206,VL,,42.3,2.0,0.0,389.0,autoroute,24.0,aucun,0.0,0.0,0.0
V10207,VUL,97716.0,,10.0,2.0,342.0,rural,22.2,faible,0.0,0.0,1.0
V10208,VL,17280.0,46.9,2.0,1.0,260.0,,20.2,faible,0.0,0.0,0.0
V10209,VL,120826.0,64.4,13.0,1.0,241.0,autoroute,28.2,élevé,,0.0,0.0
V10210,VL,70113.0,70.0,8.0,1.0,386.0,urbain,10.3,aucun,1.0,0.0,0.0
V10211,VUL,81713.0,,10.0,0.0,393.0,autoroute,33.1,aucun,0.0,0.0,0.0
V10212,VUL,908.0,,2.0,1.0,170.0,rural,27.2,aucun,0.0,0.0,0.0
V10213,VL,164586.0,30.1,16.0,2.0,146.0,urbain,19.4,aucun,0.0,0.0,1.0
V10214,VUL,64853.0,96.3,6.0,0.0,269.0,rural,18.8,aucun,0.0,0.0,0.0
V10215,VL,18174.0,105.2,2.0,0.0,148.0,urbain,23.8,aucun,0.0,0.0,0.0
V10216,VL,,17.9,9.0,1.0,379.0,autoroute,32.2,aucun,0.0,0.0,0.0
V10217,VUL,16530.0,34.4,1.0,0.0,298.0,rural,20.8,aucun,0.0,0.0,
V10218,VUL,103081.0,53.0,11.0,1.0,27.0,autoroute,21.2,aucun,0.0,1.0,1.0
V10219,VUL,5971.0,35.9,1.0,0.0,148.0,urbain,20.1,aucun,0.0,0.0,0.0
V10220,VUL,60816.0,72.6,,1.0,279.0,rural,34.3,aucun,0.0,0.0,0.0
V10221,VL,38902.0,41.8,5.0,1.0,181.0,,17.0,aucun,1.0,1.0,1.0
V10222,VL,5075.0,114.1,0.0,0.0,165.0,rural,19.8,faible,0.0,1.0,0.0
V10223,VL,13846.0,89.8,4.0,0.0,16.0,autoroute,31.7,aucun,0.0,0.0,1.0
V10224,VL,624.0,65.3,0.0,0.0,149.0,autoroute,,faible,0.0,0.0,0.0
V10225,VL,31627.0,85.7,4.0,1.0,338.0,autoroute,29.1,aucun,1.0,0.0,0.0
V10226,PL,17924.0,87.6,,2.0,44.0,autoroute,12.7,aucun,1.0,0.0,0.0
V10227,VL,,45.9,,0.0,329.0,urbain,18.4,faible,0.0,0.0,1.0
V10228,PL,17636.0,39.6,2.0,2.0,188.0,urbain,31.9,aucun,0.0,,0.0
V10229,VUL,17827.0,62.0,1.0,1.0,138.0,rural,14.6,aucun,0.0,0.0,0.0
V10230,VUL,67971.0,,6.0,0.0,60.0,urbain,18.8,,0.0,0.0,0.0
V10231,VL,2467.0,63.5,2.0,0.0,293.0,urbain,22.1,aucun,0.0,1.0,0.0
V10232,VL,116598.0,20.6,12.0,0.0,321.0,rural,12.1,aucun,0.0,0.0,1.0
V10233,VL,95616.0,39.9,10.0,1.0,32.0,urbain,16.7,faible,0.0,0.0,1.0
V10234,,55101.0,,5.0,0.0,298.0,urbain,20.9,faible,0.0,1.0,0.0
V10235,,44974.0,58.1,6.0,0.0,111.0,autoroute,20.4,aucun,0.0,0.0,1.0
V10236,VL,111421.0,109.3,12.0,1.0,290.0,urbain,30.2,aucun,0.0,0.0,1.0
V10237,VL,10248.0,25.4,1.0,1.0,36.0,urbain,,faible,0.0,0.0,0.0
V10238,VUL,4113.0,72.6,0.0,0.0,99.0,urbain,13.2,aucun,0.0,0.0,0.0
V10239,VL,13689.0,97.2,1.0,1.0,22.0,autoroute,20.9,aucun,0.0,0.0,0.0
V10240,PL,79134.0,116.8,7.0,,217.0,autoroute,,aucun,1.0,0.0,0.0
V10241,PL,1764.0,49.9,1.0,2.0,88.0,rural,,élevé,0.0,0.0,0.0
V10242,PL,43710.0,72.3,4.0,0.0,208.0,urbain,25.7,aucun,0.0,0.0,0.0
V10243,VL,269494.0,74.2,28.0,0.0,270.0,autoroute,22.3,faible,0.0,0.0,1.0
V10244,VL,96791.0,64.9,9.0,0.0,236.0,rural,25.3,aucun,0.0,0.0,0.0
V10245,PL,36849.0,57.5,3.0,0.0,387.0,autoroute,,aucun,1.0,0.0,0.0
V10246,VL,3287.0,70.9,2.0,0.0,,autoroute,12.6,faible,0.0,0.0,0.0
V10247,,89003.0,0.0,11.0,3.0,277.0,urbain,21.5,élevé,0.0,1.0,1.0
V10248,PL,45687.0,77.1,4.0,2.0,205.0,urbain,31.7,aucun,0.0,0.0,0.0
V10249,PL,6104.0,63.2,2.0,2.0,77.0,urbain,18.3,aucun,1.0,0.0,0.0
V10250,VL,4927.0,54.4,1.0,0.0,327.0,urbain,21.0,élevé,0.0,0.0,1.0
V10251,VL,120190.0,111.2,13.0,1.0,97.0,autoroute,18.1,aucun,0.0,0.0,1.0
V10252,PL,55312.0,43.1,7.0,2.0,345.0,autoroute,1.5,aucun,0.0,0.0,0.0
V10253,VL,88388.0,49.9,9.0,0.0,364.0,autoroute,20.2,aucun,0.0,0.0,1.0
V10254,VL,105589.0,109.8,12.0,0.0,349.0,urbain,22.4,faible,0.0,0.0,0.0
V10255,VL,42405.0,39.2,,1.0,335.0,urbain,15.9,faible,0.0,0.0,1.0
V10256,PL,36433.0,46.2,4.0,2.0,93.0,urbain,10.8,,0.0,0.0,1.0
V10257,VUL,,56.3,3.0,0.0,,urbain,,aucun,0.0,0.0,1.0
V10258,VL,19059.0,81.0,,1.0,37.0,urbain,26.1,aucun,0.0,0.0,1.0
V10259,VL,28510.0,65.2,4.0,1.0,227.0,,35.8,aucun,0.0,0.0,0.0
V10260,VUL,74334.0,,9.0,1.0,133.0,urbain,31.1,aucun,1.0,1.0,1.0
V10261,PL,46055.0,46.7,4.0,2.0,195.0,autoroute,9.2,aucun,0.0,0.0,1.0
V10262,VL,111524.0,44.8,12.0,1.0,389.0,urbain,26.8,aucun,0.0,1.0,0.0
V10263,VL,29293.0,58.1,6.0,0.0,281.0,autoroute,,aucun,0.0,0.0,1.0
V10264,PL,,70.6,5.0,1.0,100.0,rural,15.3,aucun,0.0,0.0,0.0
V10265,VUL,,70.5,5.0,0.0,74.0,urbain,16.3,aucun,0.0,0.0,0.0
V10266,VUL,44787.0,15.6,5.0,0.0,293.0,autoroute,25.6,faible,0.0,0.0,1.0
V10267,VUL,60639.0,86.6,6.0,1.0,207.0,autoroute,27.7,aucun,0.0,0.0,0.0
V10268,VL,,66.3,1.0,0.0,82.0,rural,19.2,aucun,0.0,0.0,1.0
V10269,VL,35909.0,94.6,4.0,0.0,142.0,rural,19.4,aucun,0.0,0.0,0.0
V10270,VUL,5503.0,71.1,0.0,0.0,55.0,urbain,23.7,faible,0.0,0.0,0.0
V10271,VUL,24266.0,87.5,3.0,1.0,360.0,rural,24.5,aucun,0.0,0.0,1.0
V10272,PL,33439.0,71.7,4.0,1.0,286.0,autoroute,29.4,aucun,1.0,0.0,0.0
